"group"	"mouse"	"day"	"size"
"G1"	8	7	29.8
"G1"	9	7	70
"G1"	1	7	35.3
"G1"	3	7	27
"G1"	5	7	24.6
"G1"	4	7	55
"G1"	2	7	19.6
"G1"	6	7	12.6
"G1"	7	7	35.2
"G1"	10	7	29.5
"G2"	19	7	29.4
"G2"	20	7	41.1
"G2"	11	7	48.6
"G2"	13	7	24.5
"G2"	12	7	66.7
"G2"	14	7	14.4
"G2"	15	7	10.8
"G2"	16	7	11.3
"G2"	17	7	18
"G2"	18	7	60
"G3"	25	7	66.6
"G3"	28	7	40.5
"G3"	21	7	12.5
"G3"	22	7	23.4
"G3"	23	7	22.2
"G3"	24	7	11.2
"G3"	26	7	11.4
"G3"	27	7	22.1
"G3"	29	7	32
"G3"	30	7	10
"G1"	8	11	157
"G1"	9	11	129.7
"G1"	1	11	157.1
"G1"	3	11	122.4
"G1"	5	11	168.8
"G1"	4	11	95
"G1"	2	11	152.2
"G1"	6	11	85
"G1"	7	11	129.8
"G1"	10	11	156.9
"G2"	19	11	152.1
"G2"	20	11	186.2
"G2"	11	11	115.3
"G2"	13	11	143.7
"G2"	12	11	289
"G2"	14	11	84.7
"G2"	15	11	70
"G2"	16	11	15
"G2"	17	11	56.7
"G2"	18	11	166.6
"G3"	25	11	147
"G3"	28	11	156.8
"G3"	21	11	108
"G3"	22	11	129.6
"G3"	23	11	65
"G3"	24	11	52.9
"G3"	26	11	115.2
"G3"	27	11	55
"G3"	29	11	44.6
"G3"	30	11	118.3
"G1"	8	12	126.8
"G1"	9	12	196
"G1"	1	12	122.5
"G1"	3	12	196.1
"G1"	5	12	135.3
"G1"	4	12	205.9
"G1"	2	12	129.6
"G1"	6	12	70.1
"G1"	7	12	180
"G1"	10	12	176.7
"G2"	19	12	122.4
"G2"	20	12	176.6
"G2"	11	12	90.8
"G2"	13	12	115
"G2"	12	12	215.6
"G2"	14	12	135.2
"G2"	15	12	80
"G2"	16	12	205.8
"G2"	17	12	115.3
"G2"	18	12	166.7
"G3"	25	12	260.1
"G3"	28	12	65
"G3"	21	12	96.8
"G3"	22	12	176.5
"G3"	23	12	176.4
"G3"	24	12	70
"G3"	26	12	65.1
"G3"	27	12	115.2
"G3"	29	12	108.9
"G3"	30	12	166.6
"G1"	8	13	202.5
"G1"	9	13	205.8
"G1"	1	13	217.6
"G1"	3	13	196.1
"G1"	5	13	196
"G1"	4	13	205.9
"G1"	2	13	176.6
"G1"	6	13	225.1
"G1"	7	13	274.7
"G1"	10	13	225
"G2"	19	13	186.3
"G2"	20	13	274.6
"G2"	11	13	176.5
"G2"	13	13	90.7
"G2"	12	13	268.8
"G2"	14	13	191.2
"G2"	15	13	118.3
"G2"	16	13	289
"G2"	17	13	96.8
"G2"	18	13	324
"G3"	25	13	420
"G3"	28	13	84.7
"G3"	21	13	186.2
"G3"	22	13	196.6
"G3"	23	13	191.3
"G3"	24	13	129.6
"G3"	26	13	32
"G3"	27	13	55
"G3"	29	13	258.8
"G3"	30	13	176.4
"G1"	8	14	225
"G1"	9	14	375.7
"G1"	1	14	340.3
"G1"	3	14	332.2
"G1"	5	14	340.2
"G1"	4	14	270
"G1"	2	14	213.9
"G1"	6	14	225.1
"G1"	7	14	420.1
"G1"	10	14	289
"G2"	19	14	186.3
"G2"	20	14	361
"G2"	11	14	317.9
"G2"	13	14	194.3
"G2"	12	14	388.8
"G2"	14	14	176.4
"G2"	15	14	156.8
"G2"	16	14	346.8
"G2"	17	14	177.5
"G2"	18	14	420
"G3"	25	14	460
"G3"	28	14	191.2
"G3"	21	14	202.5
"G3"	22	14	320
"G3"	23	14	213.8
"G3"	24	14	152.1
"G3"	26	14	10.8
"G3"	27	14	93.6
"G3"	29	14	247.5
"G3"	30	14	186.2
"G1"	8	15	307.2
"G1"	9	15	419.1
"G1"	1	15	379
"G1"	3	15	388.9
"G1"	5	15	340.4
"G1"	4	15	307.3
"G1"	2	15	317.9
"G1"	6	15	289
"G1"	7	15	340.3
"G1"	10	15	372.6
"G2"	19	15	274.7
"G2"	20	15	379.1
"G2"	11	15	421.2
"G2"	13	15	559.6
"G2"	12	15	487.4
"G2"	14	15	356.4
"G2"	15	15	215.6
"G2"	16	15	529.2
"G2"	17	15	268.8
"G2"	18	15	440
"G3"	25	15	653.4
"G3"	28	15	291.5
"G3"	21	15	213.8
"G3"	22	15	397.1
"G3"	23	15	274.6
"G3"	24	15	303.5
"G3"	26	15	3.2
"G3"	27	15	118.8
"G3"	29	15	405
"G3"	30	15	340.2
"G1"	8	17	320.1
"G1"	9	17	421.2
"G1"	1	17	556.6
"G1"	3	17	469.3
"G1"	5	17	507.3
"G1"	4	17	405.1
"G1"	2	17	356.4
"G1"	6	17	317.9
"G1"	7	17	507.2
"G1"	10	17	379.2
"G2"	19	17	485.1
"G2"	20	17	440
"G2"	11	17	529.2
"G2"	13	17	629.3
"G2"	12	17	551.3
"G2"	14	17	397.1
"G2"	15	17	268.8
"G2"	16	17	629.2
"G2"	17	17	320
"G2"	18	17	634.8
"G3"	25	17	806.4
"G3"	28	17	400
"G3"	21	17	379.1
"G3"	22	17	500
"G3"	23	17	405
